Ano,Campeão,Vice-Campeão,Terceiro Lugar,Quarto Lugar,Quinto-Lugar
2003,Cruzeiro,Santos,São Paulo,Coritiba FC,Atlético-MG
2004,Santos,Athletico-PR,São Paulo,Palmeiras,Sao Caetano
2005,Corinthians,Internacional,Goiás,Palmeiras,Fluminense
2006,São Paulo,Internacional,Grêmio,Santos,Paraná
2007,São Paulo,Santos FC,Flamengo,Fluminense,Cruzeiro
2008,São Paulo,Grêmio,Cruzeiro,Palmeiras,Flamengo
2009,Flamengo,Internacional,São Paulo,Cruzeiro,Palmeiras
2010,Fluminense,Cruzeiro,Corinthians,Grêmio,Atlético-PR
2011,Corinthians,Vasco da Gama,Fluminense,Flamengo,Internacional
2012,Fluminense,Atlético-MG,Grêmio,São Paulo,Vasco da Gama
2013,Cruzeiro,Grêmio,Atlético-PR,Botafogo,EC Vitória
2014,Cruzeiro,São Paulo,Internacional,Corinthians,Atlético-MG
2015,Corinthians,Atlético-MG,Grêmio,São Paulo,Internacional
2016,Palmeiras,Santos FC,Flamengo,Atlético-MG,Botafogo
2017,Corinthians,Palmeiras,Santos FC,Grêmio,Cruzeiro
2018,Palmeiras,Flamengo,Internacional,Grêmio,São Paulo
2019,Flamengo,Santos FC,Palmeiras,Grêmio,Athletico-PR
2020,Flamengo,Internacional,Atlético-MG,São Paulo,Fluminense
2021,Atlético-MG,Flamengo,Palmeiras,Fortaleza,Corinthians
2022,Palmeiras,Internacional,Fluminense,Corinthians,Flamengo